frames head.translateX head.translateY head.translateZ chest.translateX chest.translateY chest.translateZ rightShoulder.translateX rightShoulder.translateY rightShoulder.translateZ leftShoulder.translateX leftShoulder.translateY leftShoulder.translateZ rightShoulder.translateX rightShoulder.translateY rightShoulder.translateZ riHand.translateX riHand.translateY riHand.translateZ leHand.translateX leHand.translateY leHand.translateZ riFoot.translateX riFoot.translateY riFoot.translateZ leFoot.translateX leFoot.translateY leFoot.translateZ
1 0.7986 59.4959 5.4105 -0.0001 25.4075 3.1224 -11.6899 42.3944 2.2964 12.7575 42.271 2.4327 -11.6899 42.3944 2.2964 -19.0591 -6.2869 -3.9518 19.1279 -7.1276 -0.3907 -10.1799 -87.1149 -11.3845 12.3382 -86.9366 -10.7252
2 0.7704 59.4979 5.3887 0.0182 25.4095 3.1016 -11.7016 42.3789 2.2611 12.7472 42.2946 2.4182 -11.7016 42.3789 2.2611 -19.7702 -6.3559 -2.0514 19.282 -7.0879 -0.2998 -10.0585 -87.0904 -11.4659 12.4567 -86.927 -10.7707
3 0.7514 59.4979 5.3779 0.0236 25.4107 3.0887 -11.7067 42.3722 2.2356 12.7416 42.3044 2.412 -11.7067 42.3722 2.2356 -21.6437 -6.047 3.4463 19.4116 -7.0647 -0.2208 -9.9449 -87.069 -11.5549 12.5677 -86.9156 -10.824
4 0.7452 59.4969 5.377 0.0309 25.4113 3.0818 -11.7039 42.3678 2.2168 12.7433 42.309 2.4164 -11.7039 42.3678 2.2168 -24.155 -4.2341 11.8084 19.476 -7.0548 -0.1659 -9.8558 -87.047 -11.6485 12.655 -86.9048 -10.8799
5 0.7435 59.4959 5.3863 0.0438 25.4114 3.0806 -11.7 42.362 2.2093 12.7459 42.3149 2.4266 -11.7 42.362 2.2093 -26.7083 0.2979 21.8224 19.4943 -7.05 -0.1487 -9.7808 -87.028 -11.7374 12.7281 -86.8952 -10.9317
6 0.7359 59.4956 5.3995 0.0474 25.411 3.0844 -11.7083 42.3561 2.2154 12.7373 42.3209 2.4382 -11.7083 42.3561 2.2154 -28.7449 8.2871 31.7655 19.4442 -7.0481 -0.1415 -9.7201 -87.0142 -11.8157 12.7884 -86.8872 -10.9788
7 0.7208 59.4957 5.4088 0.0382 25.411 3.0853 -11.7206 42.3549 2.2202 12.7254 42.3225 2.4487 -11.7206 42.3549 2.2202 -29.8728 19.5417 39.6804 19.3398 -7.0561 -0.1303 -9.6789 -87.0046 -11.8756 12.8274 -86.8827 -11.008
8 0.7093 59.4971 5.4085 0.0229 25.4115 3.0795 -11.73 42.3596 2.2184 12.7164 42.3198 2.4493 -11.73 42.3596 2.2184 -30.0576 32.8381 43.959 19.2038 -7.0728 -0.1405 -9.6801 -87 -11.9093 12.8293 -86.8859 -11.0156
9 0.6954 59.4977 5.4036 0.0039 25.4125 3.0695 -11.7415 42.3656 2.2091 12.705 42.3161 2.4432 -11.7415 42.3656 2.2091 -29.4361 46.2361 43.9976 19.0774 -7.0866 -0.1688 -9.7081 -86.9964 -11.9288 12.7993 -86.8918 -11.0111
10 0.6869 59.4971 5.3972 -0.0054 25.4136 3.0575 -11.7487 42.3679 2.1923 12.6969 42.3156 2.433 -11.7487 42.3679 2.1923 -28.3105 57.9726 40.3706 18.9501 -7.1 -0.2201 -9.7573 -86.9941 -11.9466 12.7505 -86.8993 -11.0083
11 0.6804 59.496 5.3991 -0.0136 25.4142 3.051 -11.7587 42.3674 2.1836 12.6857 42.3169 2.429 -11.7587 42.3674 2.1836 -27.032 66.9653 34.4283 18.8485 -7.1077 -0.2774 -9.8167 -86.9919 -11.967 12.6897 -86.9045 -11.019
12 0.6692 59.4938 5.4115 -0.0378 25.4139 3.0535 -11.7755 42.3702 2.1828 12.6679 42.3137 2.4363 -11.7755 42.3702 2.1828 -25.7474 72.8957 27.9074 18.7819 -7.1146 -0.3305 -9.8708 -86.9895 -11.9939 12.6357 -86.9046 -11.0377
13 0.6699 59.4918 5.4218 -0.048 25.414 3.0519 -11.7783 42.3731 2.1805 12.6645 42.3102 2.443 -11.7783 42.3731 2.1805 -24.4731 76.2578 22.302 18.7697 -7.1168 -0.3679 -9.9324 -86.9893 -12.0178 12.5741 -86.9075 -11.0547
14 0.6903 59.4899 5.4319 -0.0393 25.4145 3.0473 -11.7587 42.3796 2.1779 12.6838 42.3041 2.4474 -11.7587 42.3796 2.1779 -23.1537 77.8579 18.6641 18.8007 -7.1197 -0.3868 -9.9969 -86.9876 -12.0485 12.5096 -86.9086 -11.0838
15 0.72 59.488 5.442 -0.0203 25.415 3.0416 -11.7323 42.3851 2.1783 12.7107 42.2998 2.4496 -11.7323 42.3851 2.1783 -21.6138 78.5191 17.1513 18.8703 -7.1177 -0.3944 -10.0682 -86.9852 -12.0837 12.4388 -86.9092 -11.1218
16 0.7494 59.4865 5.4483 -0.0034 25.4158 3.0337 -11.7052 42.3916 2.1771 12.738 42.2943 2.4479 -11.7052 42.3916 2.1771 -19.6272 78.8572 16.8314 18.9741 -7.1141 -0.3882 -10.125 -86.9857 -12.1134 12.3815 -86.9073 -11.1607
17 0.7779 59.4853 5.4514 0.0121 25.4165 3.0259 -11.6798 42.3974 2.1729 12.7632 42.2898 2.4429 -11.6798 42.3974 2.1729 -17.4104 78.9713 17.1742 19.0895 -7.1081 -0.3855 -10.1709 -86.9899 -12.1326 12.3369 -86.9036 -11.1969
18 0.8083 59.4836 5.4562 0.0287 25.417 3.0197 -11.6563 42.4019 2.1721 12.7869 42.2864 2.4386 -11.6563 42.4019 2.1721 -15.1715 78.8538 17.8982 19.1951 -7.1034 -0.3754 -10.2297 -86.9967 -12.1444 12.2791 -86.9016 -11.2405
19 0.8387 59.4816 5.4598 0.0445 25.4177 3.011 -11.631 42.4079 2.1702 12.8125 42.2817 2.4308 -11.631 42.4079 2.1702 -13.168 78.5808 18.6654 19.2783 -7.1039 -0.3741 -10.3122 -87.0011 -12.1523 12.2038 -86.899 -11.2901
20 0.8718 59.4795 5.459 0.0602 25.4187 2.9991 -11.5992 42.4178 2.1591 12.8441 42.2733 2.421 -11.5992 42.4178 2.1591 -11.6849 78.2812 19.1896 19.3575 -7.1082 -0.3915 -10.3997 -86.9969 -12.1628 12.1109 -86.8937 -11.3467
21 0.8896 59.4772 5.4549 0.0699 25.4197 2.9873 -11.5769 42.4259 2.1409 12.866 42.2669 2.411 -11.5769 42.4259 2.1409 -11.0187 78.0908 19.2361 19.3768 -7.1141 -0.3757 -10.4959 -86.9929 -12.1661 12.0178 -86.8898 -11.399
22 0.8966 59.4741 5.4462 0.0742 25.4209 2.9729 -11.5633 42.431 2.1194 12.8792 42.2622 2.3967 -11.5633 42.431 2.1194 -12.1493 77.7594 19.3682 19.3969 -7.1177 -0.3929 -10.5995 -86.9896 -12.162 11.916 -86.8882 -11.4483
23 0.904 59.4731 5.4306 0.0784 25.422 2.9604 -11.5544 42.4335 2.0993 12.8874 42.2596 2.3831 -11.5544 42.4335 2.0993 -15.3302 76.9467 19.9358 19.3707 -7.126 -0.388 -10.7065 -86.9861 -12.1574 11.8094 -86.8873 -11.4953
24 0.9169 59.4745 5.41 0.0872 25.4227 2.9516 -11.5422 42.4358 2.08 12.899 42.2568 2.3741 -11.5422 42.4358 2.08 -19.6176 75.5983 20.3907 19.3266 -7.1376 -0.3925 -10.8241 -86.982 -12.1532 11.6932 -86.8894 -11.5348
25 0.9264 59.4784 5.3862 0.0946 25.4231 2.9462 -11.5334 42.4366 2.0656 12.9071 42.2551 2.3695 -11.5334 42.4366 2.0656 -23.9893 73.9174 20.2893 19.2711 -7.1466 -0.3589 -10.9372 -86.979 -12.1413 11.5809 -86.8909 -11.5669
26 0.9352 59.4831 5.3667 0.1067 25.4232 2.9439 -11.5234 42.4347 2.0561 12.916 42.2553 2.371 -11.5234 42.4347 2.0561 -27.4993 72.3355 19.704 19.2342 -7.1527 -0.3496 -11.0446 -86.9767 -12.1254 11.4742 -86.8927 -11.5913
27 0.9446 59.4861 5.3635 0.1207 25.4229 2.9463 -11.5127 42.4319 2.0566 12.9255 42.2558 2.3812 -11.5127 42.4319 2.0566 -29.4983 71.3365 19.1225 19.1971 -7.1577 -0.3349 -11.1418 -86.9751 -12.1068 11.3779 -86.8952 -11.6051
28 0.9541 59.4877 5.3754 0.1315 25.4222 2.9534 -11.503 42.4308 2.0701 12.9344 42.2551 2.3975 -11.503 42.4308 2.0701 -29.5681 71.2744 19.2158 19.1733 -7.1623 -0.3244 -11.2203 -86.9749 -12.0842 11.2997 -86.8952 -11.6181
29 0.9649 59.4893 5.3899 0.1365 25.4217 2.9598 -11.4949 42.4327 2.0844 12.9423 42.2518 2.4166 -11.4949 42.4327 2.0844 -28.3896 71.816 20.1861 19.1643 -7.1684 -0.3022 -11.2861 -86.9765 -12.052 11.2343 -86.8967 -11.6142
30 0.9784 59.49 5.4107 0.1413 25.421 2.9672 -11.4865 42.4351 2.1032 12.9506 42.2483 2.4371 -11.4865 42.4351 2.1032 -26.1778 72.7956 21.591 19.1618 -7.1719 -0.2636 -11.3471 -86.9782 -12.0206 11.1734 -86.8975 -11.6076
31 1.0037 59.4873 5.4406 0.1504 25.4199 2.9792 -11.4698 42.4396 2.1282 12.9678 42.2406 2.4616 -11.4698 42.4396 2.1282 -23.1428 74.0526 22.8831 19.1752 -7.1797 -0.2608 -11.4043 -86.9793 -11.9944 11.1165 -86.898 -11.6041
32 1.0355 59.483 5.4706 0.1662 25.4186 2.9919 -11.4445 42.4451 2.1524 12.9938 42.2311 2.482 -11.4445 42.4451 2.1524 -19.7409 75.3763 23.645 19.197 -7.1884 -0.2633 -11.4619 -86.9808 -11.9647 11.0588 -86.9 -11.5968
33 1.0694 59.4782 5.5046 0.1893 25.4169 3.0084 -11.4197 42.4465 2.181 13.0195 42.2273 2.4993 -11.4197 42.4465 2.181 -16.5961 76.559 23.748 19.2181 -7.1912 -0.2836 -11.5133 -86.9821 -11.9388 11.008 -86.9018 -11.5916
34 1.098 59.4743 5.5318 0.2027 25.4155 3.0226 -11.4051 42.4492 2.2047 13.0352 42.2242 2.5103 -11.4051 42.4492 2.2047 -14.344 77.4901 23.2546 19.2343 -7.192 -0.3069 -11.5437 -86.985 -11.9079 10.9771 -86.9033 -11.5778
35 1.111 59.4715 5.5514 0.2019 25.4147 3.0313 -11.4029 42.4522 2.2264 13.0386 42.2209 2.5141 -11.4029 42.4522 2.2264 -13.295 78.1205 22.3724 19.2442 -7.1941 -0.3373 -11.5515 -86.9898 -11.8716 10.9684 -86.9024 -11.5553
36 1.1292 59.4696 5.5592 0.1884 25.4148 3.0319 -11.4005 42.4628 2.2425 13.0429 42.2109 2.5085 -11.4005 42.4628 2.2425 -12.5663 78.4408 21.5113 19.266 -7.2037 -0.3676 -11.5523 -86.9952 -11.8339 10.9691 -86.9016 -11.5266
37 1.1494 59.4681 5.5684 0.1816 25.4142 3.0392 -11.3968 42.4692 2.2617 13.0473 42.2036 2.506 -11.3968 42.4692 2.2617 -11.8709 78.5064 20.8001 19.2903 -7.2086 -0.4058 -11.5501 -86.9996 -11.8034 10.9744 -86.9011 -11.4996
38 1.1731 59.4667 5.5831 0.1835 25.4131 3.052 -11.3911 42.4727 2.285 13.0539 42.1992 2.5108 -11.3911 42.4727 2.285 -11.2675 78.4062 20.2232 19.2878 -7.2136 -0.4276 -11.5456 -87.0043 -11.7725 10.9791 -86.9031 -11.4682
39 1.1955 59.466 5.5997 0.1897 25.4117 3.066 -11.3841 42.4754 2.3101 13.0622 42.1963 2.5193 -11.3841 42.4754 2.3101 -10.8033 78.2254 19.7687 19.297 -7.2145 -0.4259 -11.5292 -87.0108 -11.7322 10.993 -86.9065 -11.4256
40 1.209 59.465 5.6177 0.1929 25.4102 3.0815 -11.3767 42.4786 2.3386 13.0705 42.1908 2.5297 -11.3767 42.4786 2.3386 -10.4893 78.0488 19.445 19.3032 -7.2197 -0.4136 -11.5031 -87.0189 -11.6846 11.0188 -86.9122 -11.3705
